network,seed,case_id,swap_rate,lp_dice_gap,merged_dice,split_dice,swap_voxels,has_swap
segformer3d,20260520,207541_202151,0.001994,0.001048,0.925082,0.924034,210,1
segformer3d,20260520,305810_305052,0.018300,0.018483,0.940394,0.921912,2400,1
segformer3d,20260520,308577_304377,0.002786,0.003518,0.936195,0.932676,276,1
segformer3d,20260520,308495_301122,0.003709,0.003809,0.924932,0.921123,349,1
segformer3d,20260520,308240_310625,0.011569,0.011449,0.948782,0.937333,1023,1
segformer3d,20260520,313120_310061,0.000177,0.000048,0.942462,0.942414,13,1
segformer3d,20260520,403339_402475,0.000008,-0.000080,0.929592,0.929671,1,1
segformer3d,20260520,404717_401091,0.000033,-0.000330,0.921328,0.921658,3,1
segformer3d,20260520,404728_401086,0.009006,0.012028,0.916722,0.904694,1027,1
segformer3d,20260520,403390_402127,0.383231,0.447784,0.911085,0.463301,42101,1
segformer3d,20260520,405948_400388,0.000000,0.000356,0.905828,0.905472,0,0
segformer3d,20260520,501877_500337,0.000071,0.000172,0.909258,0.909085,7,1
segformer3d,20260521,133140_114338,0.000382,0.000367,0.933990,0.933623,48,1
segformer3d,20260521,146478_111610,0.036878,0.037224,0.946844,0.909619,4366,1
segformer3d,20260521,136518_122095,0.116453,0.113428,0.942512,0.829083,15244,1
segformer3d,20260521,136514_122984,0.000000,-0.000096,0.946482,0.946578,0,0
segformer3d,20260521,156052000036762,0.000000,0.000225,0.926119,0.925894,0,0
segformer3d,20260521,136032_122089,0.000000,0.000233,0.937762,0.937530,0,0
segformer3d,20260521,156052000030703,0.001176,0.001530,0.915836,0.914307,63,1
segformer3d,20260521,156052000030695,0.209154,0.224944,0.936280,0.711336,8289,1
segformer3d,20260521,156052000037111,0.003780,0.003269,0.910093,0.906824,283,1
segformer3d,20260521,156052000036792,0.040521,0.038640,0.933634,0.894994,1689,1
segformer3d,20260521,156052000037130,0.002911,0.002862,0.947649,0.944787,224,1
segformer3d,20260521,156052000037131,0.000000,0.000498,0.940256,0.939758,0,0
segformer3d,20260521,156052000037142,0.035201,0.034078,0.938610,0.904532,2192,1
segformer3d,20260521,156052000037132,0.014396,0.015790,0.860812,0.845022,544,1
segformer3d,20260521,156052000037134,0.000000,-0.000001,0.917430,0.917431,0,0
segformer3d,20260521,156052000036803,0.000000,0.000005,0.956458,0.956453,0,0
segformer3d,20260521,156052000037184,0.004273,0.004157,0.930055,0.925898,169,1
segformer3d,20260521,156202411000033,0.000000,-0.000013,0.933106,0.933119,0,0
segformer3d,20260521,156052000037201,0.040628,0.040317,0.918340,0.878023,2351,1
segformer3d,20260521,156052000037636,0.178120,0.170979,0.933663,0.762685,10142,1
segformer3d,20260521,156052000037404,0.007978,0.008135,0.901340,0.893205,369,1
segformer3d,20260521,156052000037670,0.000000,0.000021,0.948956,0.948935,0,0
segformer3d,20260521,156202411000574,0.000000,0.000084,0.950320,0.950236,0,0
segformer3d,20260521,156052000037691,0.000000,0.000334,0.936661,0.936327,0,0
segformer3d,20260521,205870_202923,0.000093,-0.000167,0.949742,0.949909,16,1
segformer3d,20260521,206178_202851,0.000000,-0.000159,0.941075,0.941234,0,0
segformer3d,20260521,207633_204331,0.000000,0.000036,0.939271,0.939235,0,0
segformer3d,20260521,207541_202151,0.000123,-0.000877,0.922190,0.923067,13,1
segformer3d,20260521,305810_305052,0.010888,0.010841,0.939782,0.928941,1428,1
segformer3d,20260521,308495_301122,0.005463,0.005611,0.924746,0.919135,514,1
segformer3d,20260521,308577_304377,0.000000,0.000742,0.935869,0.935126,0,0
segformer3d,20260521,308240_310625,0.003132,0.002940,0.947746,0.944806,277,1
segformer3d,20260521,313120_310061,0.000000,-0.000093,0.938928,0.939021,0,0
segformer3d,20260521,403339_402475,0.001355,0.001284,0.925707,0.924423,169,1
segformer3d,20260521,404728_401086,0.140788,0.147670,0.905622,0.757952,16054,1
segformer3d,20260521,403390_402127,0.257869,0.275221,0.913110,0.637889,28329,1
segformer3d,20260521,404717_401091,0.000000,-0.000506,0.916137,0.916643,0,0
segformer3d,20260521,405948_400388,0.020269,0.020312,0.899323,0.879012,2681,1
segformer3d,20260521,501877_500337,0.000000,-0.000099,0.925870,0.925970,0,0
segformer3d,20260522,133140_114338,0.000000,-0.000007,0.930443,0.930450,0,0
segformer3d,20260522,146478_111610,0.010668,0.010716,0.946728,0.936012,1263,1
segformer3d,20260522,136032_122089,0.000000,0.000231,0.937098,0.936867,0,0
segformer3d,20260522,136518_122095,0.186665,0.184098,0.942521,0.758422,24435,1
segformer3d,20260522,156052000036762,0.000000,-0.000165,0.916994,0.917159,0,0
segformer3d,20260522,136514_122984,0.000000,-0.000035,0.948024,0.948060,0,0
segformer3d,20260522,156052000030703,0.000000,-0.000487,0.932292,0.932780,0,0
segformer3d,20260522,156052000030695,0.144937,0.153859,0.937302,0.783443,5744,1
segformer3d,20260522,156052000036792,0.000000,-0.000530,0.943542,0.944073,0,0
segformer3d,20260522,156052000037111,0.000000,0.000325,0.919656,0.919331,0,0
segformer3d,20260522,156052000037130,0.000000,0.000002,0.956411,0.956409,0,0
segformer3d,20260522,156052000037131,0.000000,0.000281,0.954767,0.954486,0,0
segformer3d,20260522,156052000037132,0.000000,-0.000119,0.891411,0.891530,0,0
segformer3d,20260522,156052000036803,0.000000,-0.000003,0.959898,0.959901,0,0
segformer3d,20260522,156052000037134,0.000000,-0.000714,0.910420,0.911134,0,0
segformer3d,20260522,156052000037142,0.037305,0.035940,0.941366,0.905426,2323,1
